,0,1,2,3,4,5,6,7
0,ME,92,ROCK,ROCK,,ROCK,PAPER,0
0,ME,93,SCISSORS,SCISSORS,,ROCK,ROCK,0
0,ME,94,SCISSORS,SCISSORS,,SCISSORS,SCISSORS,0
0,ME,95,PAPER,PAPER,,SCISSORS,SCISSORS,0
0,ME,96,ROCK,PAPER,COM,PAPER,PAPER,1
0,ME,97,PAPER,PAPER,,ROCK,PAPER,0
0,ME,98,PAPER,PAPER,,PAPER,PAPER,0
0,ME,99,PAPER,SCISSORS,COM,PAPER,PAPER,1
0,ME,100,ROCK,PAPER,COM,PAPER,SCISSORS,1
0,ME,101,ROCK,ROCK,,ROCK,PAPER,0
